day,month,year,mintp,mxntp,p,evp
11,8,1982,21,31.2,0,5.3
12,8,1982,21,31.2,0,5
13,8,1982,23,32.4,0,5.4
14,8,1982,19,33.6,0,6.1
15,8,1982,23.8,34.3,0,5.7
16,8,1982,24,35.3,0,6.3
17,8,1982,20,36.7,0,6.8
18,8,1982,24,33,0,5.6
19,8,1982,20.7,32.6,0,5.6
20,8,1982,20,33.3,0,5.6
21,8,1982,23,39.9,0,7.3
22,8,1982,22.8,31.6,0,5.5
23,8,1982,17.8,31,0,5.3
24,8,1982,23,33.7,0,5.5
25,8,1982,19,31.7,0,5.5
26,8,1982,17,31.6,0,5.2
27,8,1982,24,38.2,0,6.7
28,8,1982,23.1,35,0,5.6
29,8,1982,22,31.6,4.9,4.7
30,8,1982,20.6,32.1,0,5.2
31,8,1982,21.3,36,0,5.8
1,9,1982,21,30,0,4.1
2,9,1982,19,25.3,0,3.5
3,9,1982,21,29.6,1.4,4.1
4,9,1982,24.8,37.1,0,5.8
5,9,1982,21,38,0,6.5
6,9,1982,22,35.1,0,5.7
7,9,1982,21.4,35.1,0,6
8,9,1982,20.8,29.8,0,4.9
9,9,1982,19,28,0,4.2
10,9,1982,16.5,29.7,0,4.3
11,9,1982,19.5,28.6,0,3.9
12,9,1982,17.5,29.4,0,4.1
13,9,1982,19,28,0,3.7
14,9,1982,18.8,26,2.6,3.1
15,9,1982,17.6,27,39.6,3.4
16,9,1982,17.4,27.5,0.9,3.6
17,9,1982,19,28.5,0,3.7
18,9,1982,19,29.3,0,3.8
19,9,1982,21.5,32,0,4.3
20,9,1982,20,32.4,0,4.2
21,9,1982,21.7,31.3,0,4.3
22,9,1982,19,31.5,2.6,4.4
23,9,1982,19,27,2.4,3.1
24,9,1982,17,30.1,0,4
25,9,1982,20.2,32,0,4.3
26,9,1982,17.5,30.7,0,3.8
27,9,1982,20.3,28.2,0,3.2
28,9,1982,19,29.5,0,3.5
29,9,1982,20.6,29.6,0,3.3
30,9,1982,21,30.4,0,3.5
1,10,1982,19.2,28,0,3
2,10,1982,18,26.2,0,3.2
3,10,1982,15.7,27.6,0,3.5
4,10,1982,17.8,27,0,3.3
5,10,1982,12,30.5,0.6,3.9
6,10,1982,18.5,30,0,3.8
7,10,1982,19,24.4,0,2.8
8,10,1982,15.7,26.2,0,3.3
9,10,1982,15.8,26.7,0,3.3
10,10,1982,14.8,28,0,3.2
11,10,1982,17.1,25.1,27.2,2.8
12,10,1982,15.4,26,0,3.1
13,10,1982,15.8,30,0,3.8
14,10,1982,15,32.2,0,4.1
15,10,1982,18,26.3,0,3
16,10,1982,14.4,23,0,2.4
17,10,1982,14.7,28.7,0,3.3
18,10,1982,14.4,30.5,0,3.5
19,10,1982,20,29,0,2.9
20,10,1982,20.6,26.3,0,2.4
21,10,1982,20.7,24,0,1.6
22,10,1982,16,26.2,1,3
23,10,1982,16.3,28.2,0,3.5
24,10,1982,14,23.6,0,2.6
25,10,1982,12.8,22,0,2.6
26,10,1982,10.1,22.7,0,2.3
27,10,1982,11.8,20,8.5,1.8
28,10,1982,11.8,20,0,1.4
29,10,1982,18,23,55,1.9
30,10,1982,14.9,21.4,2.2,1.5
31,10,1982,16,20,9.1,1.3
1,11,1982,15,19,32,1.2
2,11,1982,14.4,19.5,7.6,1.3
3,11,1982,14,19.4,0,1.1
4,11,1982,15,22.6,3.4,1.8
5,11,1982,12.8,21.2,0,1.8
6,11,1982,12,22,0,1.9
7,11,1982,11.6,23.6,0,1.9
8,11,1982,17,24,0,1.9
9,11,1982,17,26,0,2.2
10,11,1982,13.8,23.6,0,1.5
11,11,1982,14.6,21,17.8,1.5
12,11,1982,13.8,21.2,35,1.5
13,11,1982,13,21.4,5.2,1.5
14,11,1982,14,19,0,1.3
15,11,1982,12.1,17,2.2,1.3
16,11,1982,10,13.8,5.5,1.1
17,11,1982,9.6,18,1.8,1.5
18,11,1982,11.3,17,5.4,1.5
19,11,1982,12.5,19,0,1.5
20,11,1982,12,20,0,1.5
21,11,1982,10.5,19,0,1.5
22,11,1982,5.7,20,0,1.4
23,11,1982,9,21,0,1.5
24,11,1982,9.2,21,0,1.7
25,11,1982,11,20.4,0,1.7
26,11,1982,9.4,19.3,0,1.5
27,11,1982,9,16.3,0,1.3
28,11,1982,9,15,19,1
29,11,1982,10,17,4.5,1.5
30,11,1982,9.5,16.1,0,1.1
1,12,1982,7.4,14,4.5,0.9
2,12,1982,10,17,20,1.3
3,12,1982,7,17.1,0,1.4
4,12,1982,6.6,17,0,1.1
5,12,1982,11,16.6,2.5,1
6,12,1982,10,17.4,5,1.1
7,12,1982,9,17.5,2.8,1.2
8,12,1982,8.6,18,0,1.4
9,12,1982,9,13,0,1
10,12,1982,9,17.4,0.5,1.1
11,12,1982,10,16,3,1.2
12,12,1982,9,16.4,0,1.3
13,12,1982,8.6,20,0,1.4
14,12,1982,10,17,0,1
15,12,1982,8,15,1.5,0.9
16,12,1982,7.5,14,0,1
17,12,1982,9,15,0,1.1
18,12,1982,6,14.5,0,1.2
19,12,1982,4,10,24.5,0.7
20,12,1982,7.4,16,11.2,1.3
21,12,1982,7,16,0,1.3
22,12,1982,5,17,0,1.3
23,12,1982,6,11,5.7,0.8
24,12,1982,4.2,8,2.5,0.7
25,12,1982,5.1,12.4,2.3,0.9
26,12,1982,7.4,20,7.2,1.7
27,12,1982,7.5,14.2,3.4,0.9
28,12,1982,6,15.5,0,1.1
29,12,1982,6.9,15,0,0.9
30,12,1982,7,15.3,0.8,1.2
31,12,1982,6,14,0,1.2
1,1,1983,5,14,0,1.1
2,1,1983,5,13.1,0,0.9
3,1,1983,7.5,14.4,1.4,0.9
4,1,1983,9.8,16,0.6,1.1
5,1,1983,7.4,16.5,0,1.1
6,1,1983,9,18,0,1.4
7,1,1983,7.2,17,0,1.3
8,1,1983,9.4,16.5,0,1.3
9,1,1983,8,14.2,0,0.9
10,1,1983,9,15,24.5,0.8
11,1,1983,6,14.2,0,1
12,1,1983,5.2,13.3,0,1
13,1,1983,3,14.1,0,1.1
14,1,1983,4.2,15.8,0,1.2
15,1,1983,9,15.7,0,1.3
16,1,1983,11.6,15,0,1.2
17,1,1983,8,17,0,1.2
18,1,1983,7,18,0,1.5
19,1,1983,6.5,18.1,0,1.5
20,1,1983,6,12,0,1.1
21,1,1983,3.4,10.5,2.8,1.2
22,1,1983,3.6,14.5,1.5,1.2
23,1,1983,4.6,15.1,0,1.2
24,1,1983,3.2,15.3,0,1.3
25,1,1983,7,14.8,0,1.4
26,1,1983,5.1,15,0,1.4
27,1,1983,4.9,13.4,0,1
28,1,1983,10,18,0,1.7
29,1,1983,9,17,0,1.5
30,1,1983,8.1,17.5,0,1.6
31,1,1983,11,15.7,0,1.5
1,2,1983,9.4,18,0,1.8
2,2,1983,8,17,0,1.7
3,2,1983,4.8,15,0,1.7
4,2,1983,4.4,16,0.4,1.7
5,2,1983,6,13,0,1.6
6,2,1983,4.2,18,0,2
7,2,1983,7,16,0,1.8
8,2,1983,3.3,15.3,0,1.6
9,2,1983,6,18,0,1.9
10,2,1983,6,14.2,0,1.2
11,2,1983,4,17,0.6,2
12,2,1983,2.7,17,0,1.9
13,2,1983,6.5,17.7,0,1.8
14,2,1983,6,17,0,1.6
15,2,1983,8,16.8,0,1.8
16,2,1983,5.5,19,0,2.3
17,2,1983,2.7,14.3,2,1.5
18,2,1983,4.2,12,0,1.4
19,2,1983,4.7,12,0,1.4
20,2,1983,4,15,0,1.7
21,2,1983,3.2,16.4,0,1.8
22,2,1983,4.8,15,0,1.7
23,2,1983,4.5,15.4,0,1.7
24,2,1983,9.8,14,0,1.7
25,2,1983,9,15.7,0,1.6
26,2,1983,10,17,0,1.6
27,2,1983,10.7,17.5,0.8,1.8
28,2,1983,11,16,2.3,1.8
1,3,1983,8.5,15.5,0.6,1.7
2,3,1983,7,13.4,4.5,1.4
3,3,1983,8,15,11.8,1.8
4,3,1983,7,15.7,0.8,1.9
5,3,1983,5.5,15,0,1.8
6,3,1983,1,16.4,0,2.1
7,3,1983,3.4,16,0,2.1
8,3,1983,2.8,16.2,0,2.1
9,3,1983,5.5,17.4,0,2.2
10,3,1983,5.8,21.2,0,2.8
11,3,1983,7.6,18,0,2.2
12,3,1983,10,17,0,1.9
13,3,1983,8,17,0,2.1
14,3,1983,4.6,20.3,0,2.6
15,3,1983,12,20.7,0,2.7
16,3,1983,9,15.3,8.5,2.1
17,3,1983,8,13.4,2.5,1.8
18,3,1983,10,16.8,15,2.2
19,3,1983,9.4,18,0,2.3
20,3,1983,8.2,21,0,3.2
21,3,1983,6.9,22.2,0,3.4
22,3,1983,11,24.2,0,3.4
23,3,1983,10.4,20.3,0,2.8
24,3,1983,14,23.8,0,3.3
25,3,1983,7,19.6,0,2.8
26,3,1983,6.4,16.1,4.8,2.5
27,3,1983,9,16,1.2,2.4
28,3,1983,8.6,18.4,0,2.6
29,3,1983,5.2,16.5,1.5,2.4
30,3,1983,8.8,15.2,0,1.7
31,3,1983,9.6,15,3.2,1.8
1,4,1983,7.6,22,0,3.5
2,4,1983,10.3,21.4,0,3.2
3,4,1983,7.6,20.4,0,3.2
4,4,1983,8.1,18,1.8,2.7
5,4,1983,8,20,0,3.1
6,4,1983,7.2,23,0,3.8
7,4,1983,9.5,21.2,0,3.3
8,4,1983,9.7,24,0,4.1
9,4,1983,9.8,24,0,4.2
10,4,1983,11.5,26.3,0,4.5
11,4,1983,11.4,33,0,5.7
12,4,1983,11,24.8,0,4.4
13,4,1983,9.8,20.1,0,4
14,4,1983,8.7,17.8,0,3.5
15,4,1983,7.4,17.5,0,3.3
16,4,1983,6.9,18,0,3.2
17,4,1983,12.6,22,0,3.5
18,4,1983,14.4,22,0,3.4
19,4,1983,10.6,24.3,0,4.3
20,4,1983,10.8,23,0,3.9
21,4,1983,15,23,0,3.8
22,4,1983,10.6,22.6,0,4.4
23,4,1983,7.8,25.3,0,4.7
24,4,1983,11,20.1,0,3.3
25,4,1983,6.4,24,0,4.4
26,4,1983,13,20.7,0,3.2
27,4,1983,12,20,0,3.1
28,4,1983,10,25.4,0,4.6
29,4,1983,13.6,22.2,0,3.4
30,4,1983,17,28.1,0,5
1,5,1983,16,23,0,4.1
2,5,1983,13,21.3,0,3.8
3,5,1983,10,23.3,0,4.6
4,5,1983,8.6,27,0,5.1
5,5,1983,13.6,22.2,0,3.7
6,5,1983,13,23.5,2.5,4
7,5,1983,10.2,27.4,0,5.1
8,5,1983,15,24.4,0,4
9,5,1983,14,22.3,0,3.9
10,5,1983,11,25.2,0,4.9
11,5,1983,15,23.2,0,3.9
12,5,1983,14.2,26.2,0,5
13,5,1983,15.3,32.4,0,6.4
14,5,1983,14.5,34.6,0,6.6
15,5,1983,18,27.2,0,4.8
16,5,1983,14,25.1,0,4.7
17,5,1983,12,25,0,4.8
18,5,1983,12.1,26.7,0,5.5
19,5,1983,13.4,30.2,0,6.2
20,5,1983,15.6,36,0,7.5
21,5,1983,18,25.2,0,4.6
22,5,1983,13,24.2,0,4.9
23,5,1983,12,21.4,6,4.4
24,5,1983,11.6,26.4,0,5.7
25,5,1983,10.7,23,0,4.5
26,5,1983,11.8,24.2,0,5
27,5,1983,13,23.6,0,4.6
28,5,1983,14,23.4,0,4.6
29,5,1983,12.5,25.3,0,5.3
30,5,1983,14,29.6,0,6.2
31,5,1983,14.6,28,0,5.4
1,6,1983,17.3,29,0,5.6
2,6,1983,18.4,31,0,6.2
3,6,1983,14.4,30.2,0,6.3
4,6,1983,13.6,31.7,0,6.6
5,6,1983,15.3,29.5,0,6
6,6,1983,14.8,31.3,0,6.3
7,6,1983,14.6,32.6,0,6.6
8,6,1983,16,26.6,0,4.8
9,6,1983,14,26,0,4.8
10,6,1983,14,31.2,0,6.6
11,6,1983,18.5,36.2,0,7.7
12,6,1983,19.5,29,0,5.1
13,6,1983,18.6,31.2,0,6.2
14,6,1983,19.6,26.4,0,4.8
15,6,1983,18,27.8,0,5.6
16,6,1983,18,26.8,0,5.4
17,6,1983,15.6,26.2,0,5.1
18,6,1983,18,29.4,0,5.9
19,6,1983,14.3,25,0,4.8
20,6,1983,16,26.8,0,4.8
21,6,1983,18,28.4,1.5,5.3
22,6,1983,14.8,27.4,0,5.5
23,6,1983,16,30.4,0,6.1
24,6,1983,20,31.4,0,6
25,6,1983,19.1,31.2,2.5,6.1
26,6,1983,18.6,32.4,0,6.3
27,6,1983,22,32.2,0,6
28,6,1983,20,29.2,0,5.1
29,6,1983,18.5,29.2,0,5.4
30,6,1983,17.4,29,0,5.1
1,7,1983,18,30.8,0,6.1
2,7,1983,19,31.2,0,6.2
3,7,1983,15.4,29.2,0,5.5
4,7,1983,17,33,0,6.4
5,7,1983,16.4,37.2,0,7
6,7,1983,23,34,0,6.1
7,7,1983,21,30.2,0,4.9
8,7,1983,19.4,30.4,0,5.1
9,7,1983,18.3,31.4,0,5.5
10,7,1983,17,31.4,0,5.9
11,7,1983,18.4,33.5,0,6.6
12,7,1983,18.2,34.5,0,6.9
13,7,1983,17.5,32.8,0,6.5
14,7,1983,15.7,35.2,0,7
15,7,1983,21.3,33,0,5.8
16,7,1983,16.8,30.2,0,5.2
17,7,1983,17.5,31.6,0,5.9
18,7,1983,17.3,34,0,6.3
19,7,1983,18.5,33.2,0,6.2
20,7,1983,20,35,0,7.1
21,7,1983,19.5,38.6,0,8
22,7,1983,23,41.4,0,8.5
23,7,1983,23,42.1,0,8.5
24,7,1983,18,45.3,0,9.1
25,7,1983,22.8,45.6,0,9.1
26,7,1983,24,39.4,0,8
27,7,1983,21.5,34,0,6.6
28,7,1983,24,42,0,8.5
29,7,1983,20.8,42.6,0,8.5
30,7,1983,25,40.5,0,8.2
31,7,1983,16,35,0,5.8
1,8,1983,20.2,35.2,0,6
2,8,1983,23.1,35.5,0,5.8
3,8,1983,21.2,34.2,0,6
4,8,1983,22,32,0,5.7
5,8,1983,18.4,31,0,5.3
6,8,1983,19.5,33.2,0,6
7,8,1983,21.4,31.4,0,4.9
8,8,1983,23.8,33.8,0,5.3
9,8,1983,25,32,0,4.2
10,8,1983,23,31.5,0,4.7
11,8,1983,22.3,40.2,0,7.6
12,8,1983,21.5,34,0,6
13,8,1983,21,32,0,5.3
14,8,1983,21.2,33.4,0,5.6
15,8,1983,21,31.2,0,4.8
16,8,1983,20,32.4,0,5.3
17,8,1983,22,34,0,5.9
18,8,1983,20,30.5,0,4.9
19,8,1983,18.5,31.5,0,5.1
20,8,1983,23.7,32.8,0,4.8
21,8,1983,21,29.5,0,4.1
22,8,1983,18.4,31.2,0,5
23,8,1983,25.2,35.5,0,5.9
24,8,1983,26,32.6,0,4.5
25,8,1983,21.7,29.9,0,4.4
26,8,1983,20.9,29.7,0,4.4
27,8,1983,19.1,32.2,0,5.1
28,8,1983,24,33.4,0,5
29,8,1983,24,31.7,0,4.2
30,8,1983,23,32.5,0,4.4
31,8,1983,22,30.5,0,3.8
